evaluation_id,axis,purpose,LOCAL_TYPE_1,LOCAL_TYPE_2,LOCAL_TYPE_7,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_30,profile_mse_kcal2_mol2,regularization,objective
EVAL_00099,PHI,optimization,0.23656988409621965,0.0,0.15,0.002,0.25,0.143,10.59299219022493,0.0013974579589900332,10.59438964818392
EVAL_00100,PHI,optimization,0.2070542304302089,0.0,0.15,0.0,0.25,0.143,10.55177600535239,0.0012053954171864349,10.552981400769577
EVAL_00101,PHI,optimization,0.2090542304302089,0.0,0.15,0.0,0.25,0.143,10.551664858195984,0.0012178840940552684,10.55288274229004
EVAL_00102,PHI,optimization,0.2070542304302089,0.0,0.15,0.002,0.25,0.143,10.58834292228633,0.0011806665282264347,10.589523588814556
EVAL_00103,PHI,optimization,0.20458653430024878,0.0,0.15,0.0,0.25,0.143,10.551577266092817,0.0011904272840556531,10.552767693376873
EVAL_00104,PHI,optimization,0.2065865343002488,0.0,0.15,0.0,0.25,0.143,10.551557069750853,0.001202521129543693,10.552759590880397
EVAL_00105,PHI,optimization,0.20458653430024878,0.0,0.15,0.002,0.25,0.143,10.588100716962364,0.0011656983950956532,10.589266415357459
EVAL_00106,PHI,optimization,0.2046052251105068,0.0,0.15,0.0,0.25,0.143,10.551574774808115,0.0011905388246503414,10.552765313632765
EVAL_00107,PHI,optimization,0.2066052251105068,0.0,0.15,0.0,0.25,0.143,10.551528772176539,0.0012026356606680225,10.552731407837207
EVAL_00108,PHI,optimization,0.2046052251105068,0.0,0.15,0.002,0.25,0.143,10.588124675455285,0.0011658099356903413,10.589290485390976
EVAL_00109,PHI,optimization,0.20467998835153886,0.0,0.15,0.0,0.25,0.143,10.551628517751462,0.0011909852665062048,10.552819503017968
EVAL_00110,PHI,optimization,0.20667998835153886,0.0,0.15,0.0,0.25,0.143,10.551549850149264,0.001203094064642451,10.552752944213907
EVAL_00111,PHI,optimization,0.20467998835153886,0.0,0.15,0.002,0.25,0.143,10.588147455439147,0.0011662563775462049,10.589313711816693
EVAL_00112,PHI,optimization,0.20460550890032791,0.0,0.15,0.0,0.25,0.143,10.551649776852447,0.001190540518429842,10.552840317370876
EVAL_00113,PHI,optimization,0.20660550890032792,0.0,0.15,0.0,0.25,0.143,10.551547235212885,0.0012026373998538945,10.552749872612738
EVAL_00114,PHI,optimization,0.20460550890032791,0.0,0.15,0.002,0.25,0.143,10.588130247890168,0.0011658116294698418,10.589296059519638
EVAL_00115,PHI,optimization,0.20468343887996202,0.0,0.15,0.0,0.25,0.143,10.551596422731018,0.0011910058818162465,10.552787428612834
EVAL_00116,PHI,optimization,0.20668343887996202,0.0,0.15,0.0,0.25,0.143,10.551749501995033,0.0012031152320370405,10.55295261722707
EVAL_00117,PHI,optimization,0.20468343887996202,0.0,0.15,0.002,0.25,0.143,10.588156253032496,0.0011662769928562466,10.589322530025353
EVAL_00118,PHI,optimization,0.20460606269354412,0.0,0.15,0.0,0.25,0.143,10.551572634164565,0.001190543823724087,10.55276317798829
EVAL_00119,PHI,optimization,0.20660606269354412,0.0,0.15,0.0,0.25,0.143,10.551537461219596,0.0012026407937550541,10.55274010201335
EVAL_00120,PHI,optimization,0.20460606269354412,0.0,0.15,0.002,0.25,0.143,10.588139983331844,0.001165814934764087,10.589305798266608
EVAL_00121,PHI,optimization,0.20460784739948323,0.0,0.15,0.0,0.25,0.143,10.55159686696232,0.0011905544758421486,10.552787421438163
EVAL_00122,PHI,optimization,0.20660784739948324,0.0,0.15,0.0,0.25,0.143,10.551504192047542,0.001202651731426066,10.552706843778967
EVAL_00123,PHI,optimization,0.20460784739948323,0.0,0.15,0.002,0.25,0.143,10.588130819616973,0.0011658255868821487,10.589296645203856
EVAL_00124,PHI,optimization,0.20460606294583664,0.0,0.15,0.0,0.25,0.143,10.551572634164565,0.0011905438252298912,10.552763177989794
EVAL_00125,PHI,optimization,0.20660606294583664,0.0,0.15,0.0,0.25,0.143,10.551537461219596,0.001202640795301225,10.552740102014896
