compound_id,smiles,status,failure_category,failure_detail,our_heavy,meeko_heavy,matched_heavy,atoms_match,our_total_charge,meeko_total_charge,total_charge_delta,charge_mad,type_agreement,torsdof_ours,torsdof_meeko,torsdof_delta,rotors_ours,rotors_meeko,rotors_matched,max_coord_delta
067e4ac1-179e-4821-909e-ba47439b6364,C[C@H]1C[C@@H](NC(=O)c2cc(C3CC3)on2)CCN1S(=O)(=O)CCCNCc1ccc(C(F)(F)F)cc1,OK,,,36,36,36,true,0.0000,0.0010,0.0010,0.0353,1.0000,11,11,0,11,11,10,0.0010
06cb05d7-0ba3-4064-bd2e-04c3a4071b55,CC(C)n1ncc2cc(NC(=O)C3=COCCO3)cnc21,OK,,,21,21,21,true,0.0000,-0.0020,0.0020,0.0407,1.0000,3,3,0,3,3,3,0.0010
06de8bde-20b5-4121-9111-61d7ba6983fe,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,OK,,,26,26,26,true,0.0004,-0.0000,0.0004,0.0313,1.0000,5,5,0,5,5,4,0.0010
06de8bde-20b5-4121-9111-61d7ba6983fe,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,OK,,,26,26,26,true,0.0004,-0.0000,0.0004,0.0313,1.0000,5,5,0,5,5,4,0.0010
06de8bde-20b5-4121-9111-61d7ba6983fe,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,OK,,,26,26,26,true,0.0004,-0.0000,0.0004,0.0313,1.0000,5,5,0,5,5,4,0.0010
0728703e-0e74-4a3d-92ce-9cea9904bf05,CNCCN(C)Cc1nn2c(c1C1CCCCC1)CCC2,OK,,,21,21,21,true,0.0001,0.0010,0.0009,0.0498,1.0000,6,6,0,6,6,6,0.0010
074b76f2-f7df-46be-ad79-e9c8b66187dc,C=CC(=O)NCCCc1ccc([C@H]2[C@H](NC(=O)c3ccc(F)cc3)[C@](C)(O)CCN2S(C)(=O)=O)cc1,OK,,,36,36,36,true,-0.0004,0.0020,0.0024,0.0409,1.0000,9,10,1,9,10,9,0.0010
0751285b-a94e-43df-873d-734f7768b3b9,COc1cc2c(NC3CCN(C(C)C)CC3)nc(C3CCCCC3)nc2cc1C#CCN(C)C,OK,,,34,34,34,true,-0.0003,0.0020,0.0023,0.0452,1.0000,8,8,0,8,8,5,0.0010
076a0289-5ff8-4f0a-a5ad-e42764600502,CN1C(=O)C(CCO)COC12C=CC(=O)C=C2,OK,,,17,17,17,true,-0.0002,0.0020,0.0022,0.0434,1.0000,2,3,1,2,3,2,0.0010
07b75447-b729-46bc-a6b5-6671e942a6f2,CCOC(c1cc(Cl)c2c(c1Cl)C(=O)N(Cc1c(C)cc(C)[nH]c1=O)CC2)C1CS(=O)(=O)C1,OK,,,33,33,33,true,0.0002,0.0010,0.0008,0.0321,1.0000,6,6,0,6,6,3,0.0010
07d92861-423e-4b9d-a96e-f80f434717d4,Cc1c(N2C(=O)C3C(O)CCN3C2=O)ccc(C#N)c1Cl,OK,,,21,21,21,true,0.0003,0.0010,0.0007,0.0244,1.0000,2,3,1,2,3,1,0.0010
07d92861-423e-4b9d-a96e-f80f434717d4,Cc1c(N2C(=O)C3C(O)CCN3C2=O)ccc(C#N)c1Cl,OK,,,21,21,21,true,0.0003,0.0010,0.0007,0.0244,1.0000,2,3,1,2,3,1,0.0010
07d92861-423e-4b9d-a96e-f80f434717d4,Cc1c(N2C(=O)C3C(O)CCN3C2=O)ccc(C#N)c1Cl,OK,,,21,21,21,true,0.0003,0.0010,0.0007,0.0244,1.0000,2,3,1,2,3,1,0.0010
080cf088-6ab8-4900-ae33-bcfe645ab416,C[C@H](COc1cccc(-n2ccnc2C2CC2)c1)Oc1ccc(C#N)cc1F,OK,,,28,28,28,true,-0.0002,0.0000,0.0002,0.0391,1.0000,8,8,0,8,8,4,0.0010
0817ed38-ab33-4b74-a7c9-c940176f72b0,COc1c(-c2cn(C3CCC(=O)NC3=O)nn2)csc1C(=O)N1CCCC1,OK,,,27,27,27,true,0.0001,-0.0010,0.0011,0.0359,1.0000,4,4,0,4,4,2,0.0010
0817ed38-ab33-4b74-a7c9-c940176f72b0,COc1c(-c2cn(C3CCC(=O)NC3=O)nn2)csc1C(=O)N1CCCC1,OK,,,27,27,27,true,0.0001,-0.0010,0.0011,0.0359,1.0000,4,4,0,4,4,2,0.0010
0817ed38-ab33-4b74-a7c9-c940176f72b0,COc1c(-c2cn(C3CCC(=O)NC3=O)nn2)csc1C(=O)N1CCCC1,OK,,,27,27,27,true,0.0001,-0.0010,0.0011,0.0359,1.0000,4,4,0,4,4,2,0.0010
0832ad67-0857-49f0-8e7d-18f9569982cc,C=C(C#N)C(=O)NCCCc1cnc(N2CCC(N)CC2)n2nc(-c3ccc(F)cc3)c(-c3ccc4c(c3)CC(=O)N4)c12,OK,,,43,43,43,true,-0.0000,-0.0010,0.0010,0.0309,1.0000,9,10,1,9,10,5,0.0010
0871d30d-3837-4cfd-9986-567d9b7439a7,O=C(CCl)NCCc1cnc(N2CCOCC2)n2nc(-c3ccc(F)cc3)c(-c3ccc4c(c3)CC(=O)N4)c12,OK,,,39,39,39,true,-0.0005,-0.0030,0.0025,0.0345,1.0000,7,7,0,7,7,4,0.0010
0871d30d-3837-4cfd-9986-567d9b7439a7,O=C(CCl)NCCc1cnc(N2CCOCC2)n2nc(-c3ccc(F)cc3)c(-c3ccc4c(c3)CC(=O)N4)c12,OK,,,39,39,39,true,-0.0005,-0.0030,0.0025,0.0345,1.0000,7,7,0,7,7,4,0.0010
0871d30d-3837-4cfd-9986-567d9b7439a7,O=C(CCl)NCCc1cnc(N2CCOCC2)n2nc(-c3ccc(F)cc3)c(-c3ccc4c(c3)CC(=O)N4)c12,OK,,,39,39,39,true,-0.0005,-0.0030,0.0025,0.0345,1.0000,7,7,0,7,7,4,0.0010
