enzyme,state,seed,mode,vina_score,family,protein_pairs_lt_1p8,protein_pairs_1p8_2p2,sam_min_distance_a,sam_pairs_lt_2,sam_pairs_2_2p5,strain_kcal_mol,burial_reduction_percent,physical_pass
7B,monocation,806519,9,-7.127,7,0,0,6.656875092714299,0,0,26.22750601523299,59.92968316334707,False
7B,monocation,806519,10,-7.118,4,0,0,3.5817861466033953,0,0,31.81581126766082,63.43097623241294,False
7B,monocation,806519,11,-7.089,4,0,0,3.806928683335164,0,0,38.474560300762604,63.46319282632345,False
7B,monocation,806519,12,-7.064,2,0,0,3.699587544578449,0,0,35.53898563994834,62.2993281998542,False
7B,monocation,806519,13,-7.041,9,0,0,11.53685251704294,0,0,36.52498591270958,56.27627377004675,False
7B,monocation,806519,14,-6.938,5,0,0,7.134379931010122,0,0,37.7030799234828,53.4109564301212,False
7B,monocation,806519,15,-6.916,9,0,0,11.964267048173072,0,0,38.925904222749885,52.87875876503746,False
7B,monocation,806519,16,-6.876,8,0,0,3.9372538653228846,0,0,25.727323390216583,57.40443730698445,False
7B,monocation,806519,17,-6.825,13,0,0,8.659409564167754,0,0,23.37242452563663,55.18819628740564,False
7B,monocation,806519,18,-6.809,11,0,0,7.159320079448887,0,0,29.480197645458276,54.963705311580426,False
7B,monocation,806519,19,-6.728,18,0,0,7.871439830170845,0,0,35.995250577612644,54.86400593431603,False
7B,monocation,806519,20,-6.683,19,0,0,7.407326913266352,0,0,37.31307287384128,50.96688451093112,False
